,startTime,turnTime,endTime,duration,residue_diff,residue_fit,theta_phi,VHT,reduced_residue,topTurn,r,k,MA
0,2009-06-19 22:00:53,2009-06-19 22:01:11,2009-06-19 22:01:20,10,0.16535,0.16743,"(60, 340)","(-94.42977, 101.32547, -21.0916)",,True,-0.898,-0.054,0.06608512045479965
1,2009-06-19 22:04:03,2009-06-19 22:07:10,2009-06-19 22:08:48,97,0.06813,0.10525,"(50, 60)","(-87.64916, 86.98184, -29.47)",,True,0.8535,0.0686,0.08284956727458115
2,2009-06-19 22:09:27,2009-06-19 22:10:35,2009-06-19 22:11:38,45,0.12338,0.18139,"(30, 20)","(-83.55513, 92.68113, -25.00757)",,True,0.6781,0.0155,0.024374015642810345
3,2009-06-19 22:11:40,2009-06-19 22:11:55,2009-06-19 22:12:28,17,0.12298,0.16073,"(40, 340)","(-82.82248, 93.54011, -24.33577)",,True,0.9336,0.0185,0.018543799262234963
4,2009-06-19 22:13:10,2009-06-19 22:13:27,2009-06-19 22:13:48,14,0.13739,0.17999,"(20, 0)","(-82.77906, 95.96772, -23.19988)",,True,-0.9179,-0.008,0.009203577368659831
5,2009-06-19 22:14:27,2009-06-19 22:14:39,2009-06-19 22:14:53,10,0.10566,0.16578,"(20, 60)","(-81.65314, 96.42266, -22.69761)",,True,-0.6496,-0.0022,0.003332296791694441
6,2009-06-19 22:15:35,2009-06-19 22:16:19,2009-06-19 22:17:07,32,0.09896,0.18444,"(70, 100)","(-80.70767, 97.2932, -22.10064)",,True,0.3933,0.0023,0.005306203669617671
7,2009-06-19 22:28:39,2009-06-19 22:31:19,2009-06-19 22:40:37,243,0.14915,0.17694,"(20, 0)","(-92.53418, 107.66415, -26.38044)",,True,-0.7858,-0.1684,0.20694256381212717
8,2009-06-19 22:40:40,2009-06-19 22:40:55,2009-06-19 22:41:15,13,0.11812,0.13372,"(80, 120)","(-84.02459, 89.51075, -24.68791)",,True,0.8732,0.0125,0.014692798641050933
9,2009-06-19 22:51:54,2009-06-19 22:52:44,2009-06-19 22:53:58,43,0.12589,0.19843,"(30, 80)","(-97.40498, 92.69303, -38.80945)",,True,-0.2294,-0.0047,0.020850309678010333
10,2009-06-19 23:04:36,2009-06-19 23:05:03,2009-06-19 23:05:54,27,0.1218,0.19478,"(30, 0)","(-89.74012, 88.41381, -32.65542)",,True,0.9557,0.0462,0.05242965197739165
11,2009-06-19 23:08:40,2009-06-19 23:09:01,2009-06-19 23:09:10,11,0.16278,0.16134,"(30, 60)","(-91.29956, 93.62522, -33.173)",,True,0.4777,0.0008,0.0015850223838280234
12,2009-06-19 23:09:15,2009-06-19 23:09:27,2009-06-19 23:09:42,10,0.08644,0.09119,"(40, 100)","(-90.86302, 93.48576, -32.91452)",,True,0.9593,0.0054,0.00585429515311894
13,2009-06-19 23:09:51,2009-06-19 23:12:34,2009-06-19 23:14:00,85,0.10589,0.18452,"(20, 40)","(-91.06516, 95.61524, -31.04407)",,True,-0.8245,-0.0144,0.01718436440861248
14,2009-06-19 23:14:51,2009-06-19 23:15:32,2009-06-19 23:16:50,41,0.09788,0.14634,"(30, 60)","(-92.74669, 93.86894, -31.92177)",,True,-0.7777,-0.0194,0.025039277570884737
15,2009-06-19 23:18:13,2009-06-19 23:21:02,2009-06-19 23:23:33,109,0.15615,0.19636,"(30, 60)","(-95.67179, 86.68891, -35.55109)",,True,0.7358,0.0249,0.03350471886999658
16,2009-06-19 23:27:57,2009-06-19 23:28:12,2009-06-19 23:28:30,12,0.18843,0.1684,"(30, 40)","(-96.37944, 92.17556, -30.33709)",,True,0.9627,0.0068,0.0072023535282685425
17,2009-06-19 23:41:37,2009-06-19 23:42:00,2009-06-19 23:42:18,15,0.13499,0.1803,"(60, 0)","(-104.26749, 92.71176, -36.14361)",,True,-0.8243,-0.0167,0.020546100658277285
18,2009-06-19 23:47:15,2009-06-19 23:49:02,2009-06-19 23:50:55,75,0.13765,0.18889,"(50, 80)","(-100.16538, 92.50089, -31.69186)",,True,0.8786,0.0354,0.04450597292554343
19,2009-06-19 23:55:28,2009-06-19 23:56:24,2009-06-19 23:57:32,43,0.13171,0.19565,"(50, 0)","(-99.2646, 91.60084, -24.70064)",,True,0.6893,0.019,0.024583960020130725
20,2009-06-20 00:08:17,2009-06-20 00:11:24,2009-06-20 00:16:59,177,0.12775,0.17982,"(80, 120)","(-101.78095, 98.86969, -32.17179)",,True,-0.5088,-0.0676,0.11410637297623341
21,2009-06-20 00:19:36,2009-06-20 00:20:00,2009-06-20 00:20:09,12,0.15957,0.17519,"(30, 40)","(-92.11807, 96.71092, -28.2621)",,True,0.7975,0.0056,0.005848204324907622
22,2009-06-20 00:21:32,2009-06-20 00:21:53,2009-06-20 00:22:02,11,0.1734,0.16916,"(30, 20)","(-92.34458, 95.18248, -30.83947)",,True,0.7446,0.0051,0.007777413125838578
23,2009-06-20 00:22:46,2009-06-20 00:25:06,2009-06-20 00:26:23,74,0.1757,0.19684,"(30, 0)","(-93.32219, 94.0086, -33.47611)",,True,0.3766,0.003,0.005773725328607196
24,2009-06-20 00:26:38,2009-06-20 00:28:42,2009-06-20 00:30:17,75,0.12562,0.18663,"(30, 40)","(-94.14173, 93.28732, -33.42012)",,True,0.8339,0.0088,0.010717871412692048
25,2009-06-20 00:34:33,2009-06-20 00:37:16,2009-06-20 00:38:45,86,0.11532,0.18953,"(40, 20)","(-103.16585, 92.94345, -28.60399)",,True,-0.3095,-0.005,0.012000391088476711
26,2009-06-20 00:41:07,2009-06-20 00:42:07,2009-06-20 00:43:48,55,0.11925,0.18766,"(40, 80)","(-103.652, 92.9271, -27.24725)",,True,0.4103,0.0016,0.003999469261992754
27,2009-06-20 00:44:23,2009-06-20 00:44:38,2009-06-20 00:44:56,12,0.10568,0.17462,"(70, 120)","(-103.77148, 92.38454, -26.38465)",,True,-0.3187,-0.0005,0.0014200251430834603
28,2009-06-20 00:46:52,2009-06-20 00:54:35,2009-06-20 01:01:42,301,0.12904,0.17017,"(50, 20)","(-110.02426, 98.28588, -22.75794)",,True,-0.7374,-0.0989,0.1115434714984617
29,2009-06-20 01:05:43,2009-06-20 01:06:09,2009-06-20 01:06:24,15,0.16631,0.18206,"(40, 60)","(-105.96562, 91.89714, -25.7062)",,True,0.983,0.0378,0.03915761657015518
30,2009-06-20 01:13:55,2009-06-20 01:14:40,2009-06-20 01:15:27,32,0.12278,0.19659,"(60, 340)","(-106.45796, 96.70995, -31.50607)",,True,-0.8619,-0.0492,0.04961930200475884
31,2009-06-20 01:21:50,2009-06-20 01:25:24,2009-06-20 01:28:07,128,0.09271,0.17847,"(40, 80)","(-102.33192, 90.65169, -29.43203)",,True,0.9171,0.154,0.17292628307391372
32,2009-06-20 01:46:14,2009-06-20 01:46:28,2009-06-20 01:46:55,15,0.10144,0.15718,"(60, 120)","(-118.93071, 90.14555, -27.92209)",,True,0.8328,0.0014,0.001627596265021437
