,true,timeRange,false
10~16,"[(20210126210027, 20210126210049, 20210126210125, 14, True, 0.0699, 0.09329, (80, 240), (-109.69624, -25.73254, 151.28171)), (20210126210143, 20210126210206, 20210126210233, 12, True, 0.14065, 0.15258, (50, 100), (-105.5203, -64.24498, 103.8984)), (20210126210143, 20210126210206, 20210126210237, 13, True, 0.15965, 0.16657, (50, 100), (-104.44318, -66.5921, 102.98418)), (20210126210143, 20210126210206, 20210126210246, 15, True, 0.17634, 0.20373, (50, 100), (-107.85328, -60.18558, 112.66127)), (20210126210143, 20210126210206, 20210126210246, 15, True, 0.174, 0.19779, (50, 100), (-111.59436, -49.94859, 125.67334)), (20210126210237, 20210126210255, 20210126210318, 10, True, 0.20148, 0.20795, (80, 240), (-109.20735, -41.75192, 150.81181)), (20210126210425, 20210126210448, 20210126210506, 10, True, 0.21396, 0.25123, (30, 160), (-104.82633, -36.68744, 132.70019)), (20210126210815, 20210126210833, 20210126210918, 15, True, 0.19352, 0.2605, (80, 220), (-144.6436, -13.63228, 170.59784)), (20210126211146, 20210126211204, 20210126211236, 12, True, 0.18006, 0.18228, (30, 180), (-96.08137, -92.81593, 108.3509)), (20210126211133, 20210126211204, 20210126211222, 12, True, 0.16243, 0.20337, (70, 240), (-95.86019, -91.94, 108.84287)), (20210126211151, 20210126211204, 20210126211236, 11, True, 0.15638, 0.1336, (70, 80), (-97.21637, -80.75326, 117.27999)), (20210126212109, 20210126212136, 20210126212207, 14, True, 0.13396, 0.19341, (20, 80), (-123.87895, -28.66115, 138.21286)), (20210126212109, 20210126212136, 20210126212207, 14, True, 0.11698, 0.1965, (30, 60), (-116.41912, -36.6481, 107.2646)), (20210126212113, 20210126212136, 20210126212203, 12, True, 0.10455, 0.17112, (20, 80), (-113.73021, -38.13381, 98.85661)), (20210126212212, 20210126212230, 20210126212301, 12, True, 0.16607, 0.24048, (20, 140), (-117.30934, -40.1774, 68.54328)), (20210126212615, 20210126212633, 20210126212655, 10, True, 0.14409, 0.20241, (80, 60), (-132.91217, -48.68281, 101.85413)), (20210126212606, 20210126212646, 20210126212704, 14, True, 0.24563, 0.30569, (60, 80), (-134.74903, -48.52446, 110.12)), (20210126212825, 20210126212857, 20210126212928, 15, True, 0.15691, 0.20515, (60, 80), (-119.23449, -82.84747, 84.76053)), (20210126212857, 20210126212928, 20210126213000, 15, True, 0.14055, 0.19045, (60, 80), (-123.54437, -57.04534, 117.11475)), (20210126212901, 20210126212933, 20210126213000, 14, True, 0.14084, 0.20328, (60, 80), (-121.99716, -65.79851, 107.00912)), (20210126212906, 20210126212933, 20210126213000, 13, True, 0.17273, 0.25025, (60, 80), (-123.25288, -64.1727, 108.37988)), (20210126212910, 20210126212933, 20210126213000, 12, True, 0.17027, 0.23716, (60, 80), (-125.67549, -61.84077, 110.40399)), (20210126213425, 20210126213452, 20210126213510, 11, True, 0.23359, 0.23024, (40, 160), (-125.47628, -61.66772, 78.34465)), (20210126214021, 20210126214034, 20210126214124, 15, True, 0.22915, 0.20143, (30, 140), (-164.78651, -52.65426, 98.97147)), (20210126214021, 20210126214034, 20210126214124, 15, True, 0.22366, 0.19936, (30, 140), (-166.77825, -50.74087, 101.21334)), (20210126214119, 20210126214146, 20210126214200, 10, True, 0.14349, 0.22846, (40, 60), (-155.88306, -59.30738, 81.31833)), (20210126214151, 20210126214240, 20210126214258, 16, True, 0.11592, 0.17687, (70, 40), (-158.67033, -31.82332, 111.92954)), (20210126214213, 20210126214240, 20210126214316, 15, True, 0.1263, 0.15521, (50, 60), (-162.28488, -17.97719, 156.6047)), (20210126214213, 20210126214240, 20210126214312, 14, True, 0.12993, 0.15466, (50, 60), (-160.77846, -21.2691, 155.06637)), (20210126214218, 20210126214240, 20210126214316, 14, True, 0.09111, 0.12112, (60, 200), (-159.683, -25.07276, 150.21841)), (20210126214419, 20210126214455, 20210126214527, 16, True, 0.18271, 0.23422, (20, 120), (-123.55476, -96.11751, 17.30491)), (20210126214446, 20210126214518, 20210126214545, 14, True, 0.22933, 0.26817, (50, 60), (-124.29435, -85.5794, 43.94752)), (20210126214603, 20210126214621, 20210126214657, 13, True, 0.13671, 0.14743, (50, 200), (-132.67104, -73.72059, 77.96164)), (20210126214603, 20210126214621, 20210126214706, 15, True, 0.13404, 0.21667, (50, 200), (-134.01242, -73.15863, 80.34042)), (20210126214603, 20210126214621, 20210126214657, 13, True, 0.13479, 0.14493, (50, 200), (-134.58351, -73.01725, 81.81442)), (20210126214751, 20210126214813, 20210126214836, 11, True, 0.06993, 0.07657, (60, 200), (-151.03393, -37.71157, 108.53062)), (20210126215046, 20210126215118, 20210126215140, 13, True, 0.16539, 0.25381, (50, 140), (-142.43174, -103.18642, 69.89509)), (20210126215816, 20210126215839, 20210126215901, 11, True, 0.13132, 0.19456, (50, 180), (-157.03275, -55.92561, 97.04247))]",,
13~24,"[(20210126210130, 20210126210206, 20210126210242, 17, True, 0.18509, 0.20395, (40, 120), (-109.25361, -49.47335, 125.99352)), (20210126210130, 20210126210206, 20210126210246, 18, True, 0.19317, 0.20388, (40, 120), (-107.13097, -58.92557, 115.76646)), (20210126210931, 20210126211007, 20210126211025, 13, True, 0.15259, 0.23633, (30, 120), (-100.73199, -61.5032, 115.78848)), (20210126211710, 20210126211800, 20210126211813, 15, True, 0.24825, 0.22654, (30, 160), (-106.37063, -40.14024, 133.37244)), (20210126211912, 20210126211952, 20210126212028, 18, True, 0.15189, 0.22842, (60, 220), (-101.60427, -53.29155, 128.99599)), (20210126212109, 20210126212136, 20210126212207, 14, True, 0.12063, 0.20864, (60, 200), (-115.64546, -35.27603, 94.11824)), (20210126212619, 20210126212646, 20210126212718, 14, True, 0.16154, 0.21174, (70, 220), (-136.64581, -39.46787, 118.52312)), (20210126212910, 20210126212933, 20210126213004, 13, True, 0.18904, 0.22526, (60, 80), (-127.86908, -62.48117, 109.25276)), (20210126212946, 20210126213027, 20210126213112, 20, True, 0.20392, 0.1839, (40, 180), (-122.75664, -75.85422, 89.91353)), (20210126213345, 20210126213452, 20210126213510, 20, True, 0.18528, 0.18791, (40, 160), (-131.11915, -55.59416, 93.03375)), (20210126213448, 20210126213515, 20210126213542, 13, True, 0.0677, 0.10414, (40, 100), (-135.77104, -54.12579, 89.10041)), (20210126213448, 20210126213515, 20210126213546, 14, True, 0.06609, 0.12212, (40, 100), (-135.36616, -56.31706, 86.87215)), (20210126213448, 20210126213515, 20210126213551, 15, True, 0.1145, 0.16828, (70, 60), (-136.04092, -56.59352, 87.86326)), (20210126213443, 20210126213515, 20210126213613, 21, True, 0.16701, 0.1906, (40, 100), (-135.33137, -59.04455, 81.23212)), (20210126213448, 20210126213515, 20210126213609, 19, True, 0.15119, 0.21196, (50, 80), (-139.30247, -54.19604, 89.27487)), (20210126213551, 20210126213618, 20210126213712, 19, True, 0.26199, 0.25247, (40, 80), (-140.54475, -48.58972, 91.72578)), (20210126214209, 20210126214240, 20210126214312, 15, True, 0.12641, 0.16143, (50, 60), (-158.12681, -36.14601, 131.78434)), (20210126214213, 20210126214240, 20210126214312, 14, True, 0.1026, 0.11149, (50, 60), (-157.96672, -36.41888, 131.84483)), (20210126214800, 20210126214818, 20210126214854, 13, True, 0.10604, 0.12789, (50, 100), (-150.58891, -44.67307, 100.48709)), (20210126215436, 20210126215454, 20210126215534, 14, True, 0.22612, 0.31382, (60, 100), (-140.94309, -101.28803, 86.4767))]",,
19~33,"[(20210126210112, 20210126210206, 20210126210251, 23, True, 0.16325, 0.21966, (40, 120), (-103.03142, -71.58278, 107.4125)), (20210126210121, 20210126210206, 20210126210246, 20, True, 0.18518, 0.22929, (40, 120), (-101.51165, -73.00656, 104.68921)), (20210126211800, 20210126211948, 20210126212024, 33, True, 0.13561, 0.19986, (60, 60), (-122.03359, -40.47256, 152.39453)), (20210126212122, 20210126212158, 20210126212243, 19, True, 0.08478, 0.22735, (30, 180), (-94.14269, -45.81928, 62.73634)), (20210126212104, 20210126212136, 20210126212234, 21, True, 0.12526, 0.20201, (20, 160), (-120.28295, -34.51817, 101.6666)), (20210126212109, 20210126212136, 20210126212230, 19, True, 0.12981, 0.19247, (20, 160), (-120.11009, -35.24666, 100.81981)), (20210126212552, 20210126212633, 20210126212718, 20, True, 0.15115, 0.2382, (70, 220), (-133.23748, -40.93767, 118.14996)), (20210126212552, 20210126212633, 20210126212722, 21, True, 0.15135, 0.21939, (70, 220), (-134.24251, -39.8759, 120.86069)), (20210126212548, 20210126212633, 20210126212727, 23, True, 0.167, 0.23929, (70, 220), (-134.08351, -42.63797, 118.8139)), (20210126213139, 20210126213255, 20210126213349, 30, True, 0.14069, 0.19451, (70, 220), (-121.60864, -55.84049, 102.72)), (20210126213448, 20210126213515, 20210126213618, 21, True, 0.15667, 0.26241, (50, 80), (-137.39245, -54.96916, 91.48507)), (20210126213443, 20210126213515, 20210126213627, 24, True, 0.15812, 0.2178, (50, 80), (-136.62406, -55.06266, 89.49331)), (20210126213443, 20210126213515, 20210126213631, 25, True, 0.15979, 0.22619, (50, 80), (-136.03027, -55.13334, 88.30631)), (20210126213439, 20210126213515, 20210126213636, 27, True, 0.18493, 0.23208, (50, 80), (-136.30629, -54.78446, 86.35697)), (20210126213421, 20210126213515, 20210126213645, 33, True, 0.19912, 0.23036, (50, 80), (-138.97969, -49.91203, 89.81784)), (20210126213519, 20210126213618, 20210126213654, 22, True, 0.17694, 0.2219, (60, 60), (-139.5667, -47.97227, 91.56084)), (20210126213519, 20210126213618, 20210126213707, 25, True, 0.1651, 0.21948, (60, 60), (-139.29975, -49.49598, 92.20854)), (20210126213721, 20210126213833, 20210126213855, 22, True, 0.06557, 0.13603, (80, 60), (-167.51964, -22.88937, 140.74494)), (20210126214137, 20210126214240, 20210126214357, 32, True, 0.11705, 0.18618, (80, 40), (-158.26351, -41.64779, 116.85321)), (20210126214155, 20210126214240, 20210126214339, 24, True, 0.14277, 0.1687, (50, 60), (-160.44946, -37.77259, 127.24641)), (20210126214204, 20210126214240, 20210126214339, 22, True, 0.14957, 0.19915, (30, 160), (-147.23475, -58.86344, 92.06751)), (20210126214746, 20210126214818, 20210126214912, 20, True, 0.07971, 0.19386, (40, 140), (-145.1501, -61.58611, 88.09127)), (20210126214746, 20210126214818, 20210126214907, 19, True, 0.07997, 0.14729, (40, 140), (-150.20084, -51.13897, 98.67513))]",,
31~45,"[(20210126211007, 20210126211200, 20210126211236, 34, True, 0.19009, 0.21928, (50, 100), (-90.2505, -88.96038, 100.34497)), (20210126211800, 20210126211934, 20210126212019, 32, True, 0.12648, 0.19399, (60, 60), (-120.77509, -40.7091, 149.01542)), (20210126211800, 20210126211934, 20210126212024, 33, True, 0.12992, 0.18844, (60, 60), (-120.18974, -41.13172, 148.39491)), (20210126211724, 20210126211930, 20210126212033, 43, True, 0.14497, 0.24283, (70, 220), (-116.2871, -42.65279, 143.63687)), (20210126211755, 20210126211934, 20210126212037, 37, True, 0.13109, 0.19846, (70, 220), (-111.61664, -45.10701, 135.50596)), (20210126211800, 20210126211952, 20210126212042, 37, True, 0.11207, 0.17542, (60, 60), (-108.98534, -46.20913, 130.42159)), (20210126211733, 20210126211952, 20210126212046, 44, True, 0.1234, 0.19432, (60, 60), (-111.4231, -45.92308, 135.13951)), (20210126211733, 20210126211948, 20210126212046, 44, True, 0.13374, 0.19525, (60, 60), (-111.60659, -46.18321, 134.65928)), (20210126211737, 20210126211934, 20210126212037, 41, True, 0.12185, 0.22162, (70, 220), (-111.28246, -46.07107, 132.97787)), (20210126211751, 20210126211934, 20210126212042, 39, True, 0.1277, 0.18061, (60, 60), (-112.58592, -44.0182, 135.57925)), (20210126211800, 20210126211934, 20210126212033, 35, True, 0.12369, 0.19122, (60, 60), (-111.66686, -43.35273, 132.73629)), (20210126212037, 20210126212158, 20210126212333, 40, True, 0.09555, 0.16407, (20, 100), (-99.54601, -44.90987, 67.83072)), (20210126212037, 20210126212158, 20210126212342, 42, True, 0.1031, 0.16726, (20, 100), (-102.00478, -44.08274, 71.50384)), (20210126212037, 20210126212158, 20210126212351, 44, True, 0.10943, 0.17023, (30, 180), (-103.62867, -43.82636, 71.76689)), (20210126213640, 20210126213828, 20210126213900, 32, True, 0.10922, 0.19339, (40, 160), (-168.33768, -26.05865, 145.2423)), (20210126214737, 20210126214818, 20210126215010, 35, True, 0.15697, 0.1931, (80, 60), (-150.85126, -50.20961, 100.66299)), (20210126215637, 20210126215821, 20210126215924, 38, True, 0.19985, 0.19166, (70, 220), (-147.01607, -63.82064, 93.3836)), (20210126215615, 20210126215821, 20210126215857, 37, True, 0.18307, 0.22121, (80, 80), (-147.61446, -62.96328, 92.91668)), (20210126215651, 20210126215830, 20210126215942, 39, True, 0.17862, 0.20107, (60, 100), (-149.13798, -62.69048, 93.03969)), (20210126215642, 20210126215830, 20210126215955, 44, True, 0.1769, 0.19815, (60, 100), (-151.38716, -63.62145, 92.77428))]",,
41~55,"[(20210126211146, 20210126211240, 20210126211446, 41, True, 0.13864, 0.21438, (60, 80), (-119.24998, -40.09471, 175.03761)), (20210126211648, 20210126211934, 20210126212046, 54, True, 0.12819, 0.21792, (70, 220), (-109.51436, -45.1591, 129.4947)), (20210126211809, 20210126211948, 20210126212109, 41, True, 0.10361, 0.1605, (50, 60), (-111.4264, -44.11274, 132.0714)), (20210126211809, 20210126211948, 20210126212118, 43, True, 0.11054, 0.17687, (30, 80), (-112.1336, -43.65843, 133.63046)), (20210126212019, 20210126212158, 20210126212409, 52, True, 0.113, 0.16107, (20, 100), (-99.41978, -45.9424, 65.77311)), (20210126212028, 20210126212158, 20210126212422, 53, True, 0.11316, 0.15934, (20, 100), (-100.59353, -46.0012, 64.56084)), (20210126212113, 20210126212216, 20210126212431, 45, True, 0.1519, 0.1957, (20, 120), (-126.34267, -37.02433, 111.09923)), (20210126214934, 20210126215104, 20210126215306, 48, True, 0.1562, 0.1947, (50, 120), (-143.26803, -76.24417, 89.95285)), (20210126214948, 20210126215104, 20210126215306, 45, True, 0.16599, 0.20039, (50, 120), (-142.95508, -74.97581, 91.28207)), (20210126215646, 20210126215830, 20210126215946, 41, True, 0.17417, 0.19996, (60, 100), (-147.66268, -65.76828, 94.1327)), (20210126215552, 20210126215812, 20210126215857, 42, True, 0.15257, 0.19781, (80, 80), (-148.67455, -66.3354, 93.2614))]",,
53~66,"[(20210126211052, 20210126211240, 20210126211446, 53, True, 0.12899, 0.19258, (80, 240), (-112.5757, -46.24389, 159.29362)), (20210126211106, 20210126211240, 20210126211536, 61, True, 0.14048, 0.21077, (60, 80), (-113.38921, -45.36287, 160.08016)), (20210126211124, 20210126211240, 20210126211518, 53, True, 0.12956, 0.21375, (60, 80), (-118.43063, -41.65234, 170.48824)), (20210126211652, 20210126211930, 20210126212118, 60, True, 0.14092, 0.2149, (60, 60), (-105.67658, -44.16232, 122.30526)), (20210126211643, 20210126211934, 20210126212122, 63, True, 0.12674, 0.19454, (60, 60), (-108.6761, -43.46238, 127.8175)), (20210126211639, 20210126211930, 20210126212113, 62, True, 0.11481, 0.21083, (60, 60), (-112.16396, -42.37824, 133.07447)), (20210126211728, 20210126211952, 20210126212140, 57, True, 0.10611, 0.18696, (80, 220), (-112.03061, -41.89596, 132.47139)), (20210126211657, 20210126211930, 20210126212100, 55, True, 0.12809, 0.22685, (60, 60), (-112.70569, -41.88534, 134.27937)), (20210126212324, 20210126212503, 20210126212722, 54, True, 0.17977, 0.20002, (50, 80), (-135.56457, -35.91916, 121.10216)), (20210126212257, 20210126212503, 20210126212745, 65, True, 0.20547, 0.23138, (50, 80), (-133.21633, -41.99004, 116.03375)), (20210126212301, 20210126212503, 20210126212736, 62, True, 0.20201, 0.22152, (50, 80), (-132.27966, -43.68701, 113.95068)), (20210126212315, 20210126212503, 20210126212709, 53, True, 0.19864, 0.22464, (50, 80), (-131.18581, -45.37649, 113.6089))]",,
62~76,"[(20210126211057, 20210126211240, 20210126211536, 63, True, 0.13065, 0.20794, (60, 80), (-111.90548, -47.20102, 155.00332)), (20210126211039, 20210126211240, 20210126211612, 75, True, 0.12388, 0.20066, (60, 80), (-112.21034, -46.06656, 156.44372)), (20210126211558, 20210126211930, 20210126212055, 67, True, 0.11761, 0.18005, (40, 200), (-104.26683, -45.06698, 120.35149)), (20210126212315, 20210126212543, 20210126212825, 70, True, 0.18505, 0.23286, (40, 180), (-133.90388, -38.32863, 121.97385))]",,
74~88,"[(20210126212154, 20210126212436, 20210126212740, 78, True, 0.16226, 0.18585, (80, 220), (-132.28466, -35.44257, 123.1604)), (20210126212149, 20210126212436, 20210126212740, 79, True, 0.16391, 0.18696, (80, 220), (-132.80722, -39.09686, 119.52759)), (20210126212319, 20210126212543, 20210126212951, 88, True, 0.22107, 0.23686, (80, 60), (-130.79146, -47.45355, 117.00577))]",,
84~98,"[(20210126212248, 20210126212543, 20210126212910, 86, True, 0.18385, 0.2149, (40, 100), (-133.47556, -39.70543, 121.56534)), (20210126214428, 20210126214818, 20210126215046, 85, True, 0.13466, 0.17246, (70, 60), (-145.46715, -70.21073, 86.61613))]",,
96~109,"[(20210126211415, 20210126211925, 20210126212131, 98, True, 0.1349, 0.19526, (60, 60), (-112.85105, -40.36385, 142.47371)), (20210126211415, 20210126211925, 20210126212136, 99, True, 0.12769, 0.19653, (60, 60), (-112.53276, -40.1711, 141.24469)), (20210126211415, 20210126211925, 20210126212158, 104, True, 0.1351, 0.19632, (60, 60), (-111.4893, -40.14261, 140.36432)), (20210126212118, 20210126212458, 20210126212852, 102, True, 0.17914, 0.19509, (30, 140), (-133.45103, -34.54507, 128.14503)), (20210126212113, 20210126212458, 20210126212915, 108, True, 0.179, 0.19522, (30, 140), (-132.90781, -36.06343, 127.12562)), (20210126212113, 20210126212503, 20210126212919, 109, True, 0.18059, 0.1976, (30, 140), (-132.98156, -36.40335, 126.7721)), (20210126212158, 20210126212458, 20210126212937, 103, True, 0.18527, 0.1916, (50, 80), (-133.40854, -38.09386, 125.00932)), (20210126212154, 20210126212503, 20210126212942, 105, True, 0.19896, 0.19531, (50, 80), (-133.54439, -38.48286, 125.4607))]",,
